Measure Number,SCF ID,Description,Relevant Regulation(s),Response,Control Coverage,,,,,,,,,,,,,,,,,,,
M10.48,"CFG-02, CFG-03","Providers shall ensure their equipment is in a secure-by-default configuration, based on the principle that only required services are made available.",3(3)(e); 13(2)(d),"VCF/TCP components are shipped with a secure-by-default configuration that aligns with the VMware Security Configuration Guide. This configuration disables unencrypted or unnecessary management protocols. The VMware vDefend Distributed Firewall enforces a ""default-deny"" policy, ensuring that no communication is permitted unless explicitly allowed. This principle of least privilege ensures only required services are accessible on the VCF/TCP's management components and between workloads.",Contributes,,,,,,,,,,,,,,,,,,,
M10.49,"CFG-02, CFG-02.7","Providers shall ensure that all deployed equipment either meets the network equipment supplier's recommended secure configuration (as a minimum), or that any variations are recorded and the risk assessed.",3(3)(e); 11; 13(2)(d),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.50,"RSK-05, VPM-02","Providers shall implement necessary mitigations based on identified equipment risks (e.g. use of an out-of-support component), such that these equipment risks do not increase the overall risk to their networks.",3(3)(e); 11; 13(2)(d),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.51,"VPM-05, CHG-02",Providers shall update all supported equipment within such period as is appropriate of any relevant and appropriate version being released.,7(4)(c); 7(5); 12,"VCF/TCP provides integrated lifecycle management tools for infrastructure updates through VCF Operations and vSphere Lifecycle Manager (vLCM). These tools automate patch deployment with zero-downtime maintenance capabilities. For security updates, VMware vDefend's ""virtual patching"" capability serves as a critical compensating control. By applying IDS/IPS signatures, it can block network-level exploits for a known vulnerability before the patch is deployed, mitigating risk and allowing providers to schedule the full update in an appropriate and timely manner.",Contributes,,,,,,,,,,,,,,,,,,,
M10.52,"VPM-05,VPM-03","Providers shall deploy all security related patches and patches with a security element in a way that is proportionate to the risk of security compromise that the patch is intended to address (see Table 2). Should this not be possible, patches shall be deployed as soon as practicable and effective alternative mitigations put in place until the relevant patch has been deployed. Where a patch addresses an exposed, actively-exploited vulnerability, providers shall ensure that such patches are deployed as soon as can reasonably be achieved, and at most within 14 days of release.",7(4)(c); 7(5); 12,"VCF/TCP's automated lifecycle management is what makes these rapid timelines achievable. Should an immediate deployment not be possible, VMware vDefend provides an ""effective alternative mitigation"" through its ""virtual patching"" capability. The vDefend Distributed IDS/IPS can apply a signature to block the network-level exploit, immediately shielding the vulnerable systems. This allows providers to meet the 14-day requirement by first mitigating the threat, and then using VCF Operations orchestration and vSphere Lifecycle Manager (vLCM) to deploy the permanent patch in a controlled, tested, and automated manner without requiring a large maintenance outage.",Contributes,,,,,,,,,,,,,,,,,,,
M10.53,"CFG-02,VPM-05","Providers shall ensure that network equipment continues to meet the requirements in M8.04, M8.05, M8.06, M10.48 and M10.49 throughout its lifecycle including after an upgrade or patch.",7(4)(c); 7(5); 12,Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M10.54,"THR-06,TPM-08","The provider shall verify that their third party network equipment suppliers have a vulnerability disclosure policy. This shall include, at a minimum, a public point of contact and details around timescales for communication.",4(4)(c); 7(4)(a)(i); 12,"Organizational implementation; outside platform scope.

A top priority for Broadcom, in general terms, for its products and services offering, is to maintain the trust awarded to us by our customers. We recognize that unless our products meet the highest standards for security, customers will not be able to utilize them with confidence. To achieve this, the VMware Security Response Center (vSRC) maintains a program to identify, respond to, and address vulnerabilities. This publication documents our policies for addressing vulnerabilities in VMware Enterprise and Consumer Products (on-prem). It also describes under what circumstances we will issue a CVE identifier and VMware Security Advisory (VMSA), explains how to report a vulnerability in VMware-maintained code, defines terminology used in our publications and corrective actions, and documents our commitment to safe harbor practices. VMware External Vulnerability Response and Remediation Policy - https://www.broadcom.com/support/vmware-services/security-response",Not Applicable,,,,,,,,,,,,,,,,,,,
Management Plane 3,,, , , ,,,,,,,,,,,,,,,,,,,
M11.01,CHG-02,Operational changes shall only be made according to a formal change process except under emergency or outage situations.,"3(3)(d); 3(5); 6(2); 6(3)(d); 8(1); 8(2)(b),(c),(g); 10(2)(b)","VCF/TCP implements granular role-based access control and additional authorization mechanisms to enforce access policies across infrastructure operations. Detailed logging monitors all changes. Integration with IT Service Management (ITSM) platforms enables change tracking and approval workflows. VCF/TCP maintains comprehensive audit trails for all configuration changes and supports rollback capabilities.

VCF Automation provides workflow processes that include change approval mechanisms for organizational change management requirements. 

vSphere Lifecycle Manager (vLCM) provides centralized lifecycle management for ESX hosts, drivers, firmware, and add-on software. vLCM uses desired state configuration to maintain consistency across infrastructure components and automatically detects and remediates configuration drift. This ensures all hosts remain compliant with approved baselines while providing detailed change tracking and rollback capabilities.

Change management extends to Kubernetes environments through vSphere Namespaces. Resource limits, storage policies, and access permissions require appropriate approvals before modification. VCF/TCP tracks all changes to namespace configurations, container deployments, and Kubernetes cluster lifecycle operations through unified audit logging. VCF Operations provides configuration drift detection and alerts administrators when unauthorized changes occur. This enables rapid remediation and maintains compliance with change control policies.

Platform uses Configuration Profiles, Host Profiles, and Image-Based Lifecycle Management to periodically assess host configurations. It alerts when drift is detected and offers automated remediation.",Contributes,,,,,,,,,,,,,,,,,,,
M11.02,"IAC-16, CRY-09","Any persistent credentials and secrets (e.g., for break glass access) shall be protected and not available to anyone except for the responsible person(s) in an emergency.","3(3)(a),(b),(d); 3(5); 6(2); 6(3)(b),(d); 8(1); 8(2)(f); 8(5)(a)","VCF/TCP addresses this by providing native tools for credential management and supporting integration with dedicated ""break-glass"" systems.

VCF/TCP integrates with third-party Privileged Access Management (PAM) solutions, which is the recommended approach for this control. This allows all persistent credentials to be ""vaulted,"" where they are not available to any user during normal operations. In an emergency, a ""responsible person"" must authenticate to the PAM system (using VCF SSO and MFA) to ""check out"" the credential, with all activity being logged.

Natively, VCF Operations provides unified password management for all VCF/TCP components. This centralized console allows administrators to set and rotate unique, strong passwords for each individual ESX host and management appliance. Access to this VCF Operations console is secured by VCF SSO and Role-Based Access Control (RBAC), ensuring that only a minimal set of ""responsible persons"" have the permissions to manage these credentials.",Contributes,,,,,,,,,,,,,,,,,,,
M11.03,CRY-09,"Central storage for persistent credentials shall be protected by hardware means. For example, on a physical host the drive could be encrypted with the use of a TPM. Where a virtual machine (VM) is used to provide a central storage service, that VM and the data included in it shall also be encrypted, use secure boot and be configured to ensure that it can only be booted within an appropriate environment. This is to ensure that data cannot be removed from the operational environment and accessed.","3(3)(a),(b),(d); 3(5); 6(2); 6(3)(b),(d); 8(1); 8(2)(f); 8(5)(a)","VCF/TCP addresses this at both the physical host and virtual machine levels. Physical ESX hosts, when equipped with a Trusted Platform Module (TPM), store their configuration encryption keys in this hardware-backed secure storage. For virtual machines, a virtual Trusted Platform Module (vTPM) can be enabled. This allows the VM's guest operating system to use the same hardware-backed security principles for its own persistent credentials and full disk encryption (e.g., BitLocker), ensuring the data cannot be removed and accessed.",Contributes,,,,,,,,,,,,,,,,,,,
